,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,atuona,33,PF,1624091360,77,-9.8,-139.0333,79.41,22.41
1,harer,92,ET,1624091360,53,9.3094,42.1258,70.79,11.05
2,busselton,100,AU,1624091362,73,-33.65,115.3333,60.04,15.9
3,mys shmidta,86,RU,1624091362,33,62.0589,48.6201,80.2,14.58
4,port elizabeth,12,CD,1624091363,54,-7.0349,29.7638,77.68,12.8
5,zavodskoy,40,RU,1624091364,72,43.4597,132.2922,65.79,15.66
6,vaini,20,TO,1624091364,94,-21.2,-175.2,73.56,5.75
7,tasiilaq,2,GL,1624091365,69,65.6145,-37.6368,35.76,3.69
8,san javier,74,ML,1624091366,47,13.3034,-4.8956,87.03,14.03
9,sambava,30,MG,1624091367,77,-14.2667,50.1667,76.5,12.03
10,ribeira grande,75,ES,1624091368,96,42.7461,-8.4439,61.52,4.61
11,hofn,100,IS,1624091368,70,64.2539,-15.2082,44.89,4.36
12,havre,90,FR,1624091369,88,49.5833,0.3333,60.58,2.3
13,labuhan,59,ID,1624091370,66,-6.8844,112.2051,84.9,6.71
14,paraiso,96,CR,1624091371,96,9.8383,-83.8656,66.11,1.9
15,cape town,72,CL,1624091372,85,-36.413,-71.9028,40.42,1.63
16,castro,100,BR,1624091372,98,-24.7911,-50.0119,51.84,6.67
17,port alfred,12,CD,1624091373,54,-7.0349,29.7638,77.68,12.8
18,san jose,74,ML,1624091356,47,13.3034,-4.8956,87.03,14.03
19,hobart,75,AU,1624091271,89,-42.8794,147.3294,51.03,8.05
20,bethel,90,US,1624091375,80,41.3712,-73.414,70.03,9.22
21,hilo,1,US,1624091376,83,19.7297,-155.09,75.27,5.75
22,new norfolk,52,LR,1624091376,92,6.6518,-10.5932,74.43,0.63
23,abu samrah,100,IN,1624091378,78,24.6,72.7,69.19,5.28
24,namatanai,32,PG,1624091379,78,-3.6667,152.4333,79.74,2.35
25,east london,100,IS,1624091379,87,65.0,-15.0,35.35,5.55
26,rundu,0,NA,1624091380,30,-17.9333,19.7667,66.09,8.16
27,punta arenas,100,PH,1624091381,70,8.9897,125.34,84.96,7.67
28,qaanaaq,50,GL,1624091382,60,77.484,-69.3632,33.46,4.94
29,chapais,99,CA,1624091117,98,49.7834,-74.8492,55.18,3.78
30,champerico,100,GT,1624091383,86,14.3,-91.9167,82.35,3.74
31,clyde river,99,US,1624091383,91,41.3042,-82.9752,72.39,7.72
32,fare,2,PF,1624091384,76,-16.7,-151.0167,80.73,15.9
33,bredasdorp,4,ZA,1624091385,77,-34.5322,20.0403,56.52,5.75
34,maragogi,97,BR,1624091385,92,-9.0122,-35.2225,73.51,9.19
35,ushuaia,75,AR,1624091386,93,-54.8,-68.3,38.86,5.75
36,marzuq,6,YE,1624091387,13,14.4,46.4667,96.13,8.57
37,jamestown,40,US,1624091362,93,42.097,-79.2353,71.19,3.0
38,albany,79,US,1624091116,75,42.6001,-73.9662,69.53,2.84
39,buraydah,0,SA,1624091389,6,26.326,43.975,99.05,7.18
40,rikitea,100,PF,1624091390,69,-23.1203,-134.9692,75.15,19.89
41,marawi,100,PH,1624091390,89,7.9986,124.2928,76.64,1.07
42,balabac,100,PH,1624091391,71,7.9868,117.0645,85.5,7.96
43,nanortalik,100,GL,1624091392,73,60.1432,-45.2371,40.15,10.87
44,smithers,1,CA,1624091190,93,54.7804,-127.1743,44.92,2.3
45,mataura,10,NZ,1624091393,95,-46.1927,168.8643,40.48,3.8
46,margate,100,GB,1624091394,90,51.3813,1.3862,58.3,1.99
47,yellowknife,20,CA,1624091280,61,62.456,-114.3525,46.92,16.11
48,haines junction,20,US,1624091395,87,59.2286,-135.4441,55.08,5.75
49,corinto,9,GR,1624091396,66,37.9407,22.9573,87.91,6.13
50,souillac,40,MU,1624091396,65,-20.5167,57.5167,79.36,9.22
51,gold coast,1,US,1624091397,87,35.7932,-81.762,73.13,0.0
52,touros,9,BR,1624091246,92,-5.1989,-35.4608,72.5,11.63
53,iqaluit,75,CA,1624091398,93,63.7506,-68.5145,31.73,5.99
54,ambunti,61,PG,1624091399,82,-4.2365,142.8448,80.01,1.16
55,hermanus,10,ZA,1624091401,48,-34.4187,19.2345,68.9,6.62
56,gawler,97,AU,1624091401,89,-34.6,138.7333,57.22,2.73
57,tiksi,99,RU,1624091402,48,71.6872,128.8694,59.65,4.88
58,puri,100,IN,1624091403,76,19.8,85.85,86.52,14.32
59,meiganga,84,CM,1624091404,71,6.5167,14.3,76.73,3.71
60,sitka,75,US,1624091405,71,57.0531,-135.33,53.49,3.44
61,karlskoga,25,SE,1624091349,59,59.3267,14.5239,70.92,11.61
62,tefe,27,BR,1624091406,99,-3.3542,-64.7114,70.66,1.34
63,tateyama,100,JP,1624091407,81,34.9833,139.8667,73.15,18.5
64,mahebourg,40,MU,1624091408,65,-20.4081,57.7,79.25,9.22
65,nuuk,90,GL,1624091408,87,64.1835,-51.7216,39.81,3.44
66,bagua grande,96,PE,1624091409,87,-5.6374,-78.531,69.62,1.07
67,fortuna,90,US,1624091290,69,40.5982,-124.1573,56.43,1.01
68,itamaraca,53,BR,1624091410,93,-7.7478,-34.8256,72.28,9.64
69,vila velha,40,PT,1624091411,87,42.0304,-8.1588,54.7,4.25
70,vilyuysk,100,RU,1624091412,37,63.7553,121.6247,81.14,4.88
71,kelo,98,TD,1624091413,44,9.3086,15.8066,89.6,8.14
72,carnarvon,1,AU,1624091414,40,-24.8667,113.6333,68.07,12.66
73,comodoro rivadavia,57,BR,1624091414,77,-13.6631,-59.7858,62.22,2.91
74,waipawa,100,NZ,1624091415,95,-41.4122,175.5153,49.46,14.79
75,longyearbyen,75,SJ,1624091416,80,78.2186,15.6401,35.44,25.32
76,nyurba,80,RU,1624091417,36,63.2842,118.3319,80.67,2.44
77,balikpapan,20,ID,1624091418,84,-1.2675,116.8289,83.39,3.44
78,dikson,34,RU,1624091418,92,73.5069,80.5464,31.44,7.94
79,laguna,1,US,1624091419,36,38.421,-121.4238,85.84,6.91
80,kapaa,40,US,1624091420,83,22.0752,-159.319,75.52,11.5
81,faanui,19,PF,1624091420,77,-16.4833,-151.75,80.24,15.21
82,upernavik,26,GL,1624091421,61,72.7868,-56.1549,36.82,4.23
83,bluff,5,NZ,1624091422,85,-46.6,168.3333,40.8,12.77
84,barrow,20,US,1624091423,71,71.2906,-156.7887,48.22,6.91
85,saldanha,1,ZA,1624091423,39,-33.0117,17.9442,62.65,8.57
86,kemijarvi,10,FI,1624091424,39,66.7131,27.4306,62.31,7.94
87,san patricio,74,ML,1624091366,47,13.3034,-4.8956,87.03,14.03
88,coahuayana,87,MX,1624091426,94,18.7333,-103.6833,75.45,7.54
89,dogondoutchi,100,NE,1624091427,39,13.6393,4.0287,92.62,9.57
90,sulangan,99,PH,1624091428,67,11.1373,123.7228,85.6,3.24
91,mangai,100,CD,1624091428,23,-4.05,19.5333,89.91,2.77
92,hervey bay,57,US,1624091429,78,33.4982,-93.7771,73.85,4.38
93,talnakh,0,RU,1624091430,79,69.4865,88.3972,44.91,7.47
94,praia,100,CV,1624091431,78,14.9215,-23.5087,72.14,13.8
95,lazo,40,RU,1624091409,99,43.3817,133.9014,52.95,3.42
96,arraial do cabo,100,BR,1624091432,88,-22.8362,-46.646,56.61,4.94
97,shimoda,61,JP,1624091433,90,34.6667,138.95,71.01,9.35
98,provideniya,100,RU,1624091434,62,64.3833,-173.3,53.02,3.47
99,coquimbo,99,CL,1624091434,87,-29.9533,-71.3436,51.53,2.3
100,amasya,0,TR,1624091435,47,40.6667,35.8333,78.48,3.42
101,kamloops,0,CA,1624091285,55,50.6665,-120.3192,63.75,3.0
102,cherskiy,75,RU,1624091437,56,68.75,161.3,49.59,6.71
103,zeliezovce,20,SK,1624091438,56,48.0508,18.6542,85.66,0.94
104,avarua,6,CK,1624091438,83,-21.2078,-159.775,77.05,11.5
105,lagoa,75,PT,1624091439,87,39.05,-27.9833,66.0,14.47
106,tura,10,IN,1624091440,94,25.5198,90.2201,73.92,4.76
107,lompoc,100,US,1624091277,93,34.6391,-120.4579,63.57,0.0
108,kruisfontein,90,ZA,1624091441,36,-34.0033,24.7314,60.89,10.16
109,okmulgee,4,US,1624091442,100,35.6234,-95.9605,78.3,0.0
110,lancut,1,PL,1624091443,57,50.0687,22.2291,82.98,14.97
111,portland,0,US,1624090692,74,45.5234,-122.6762,58.62,1.01
112,norman wells,1,US,1624091155,84,35.2226,-97.4395,79.97,10.36
113,thompson,1,CA,1624091409,93,55.7435,-97.8558,41.16,0.0
114,semnan,20,IR,1624091445,10,35.5729,53.3971,94.3,10.25
115,skagen,0,DK,1624091446,95,57.7209,10.5839,60.94,8.52
116,minsk,96,BY,1624091447,60,53.9,27.5667,78.55,10.29
117,alofi,0,NU,1624091448,94,-19.0595,-169.9187,73.29,8.05
118,san ramon,23,ML,1624091448,42,13.3034,-4.8956,89.92,14.43
119,north bend,80,FR,1624091449,77,50.3333,3.6667,67.44,6.58
120,mangan,100,IN,1624091450,98,27.5167,88.5333,77.41,3.15
121,saint-francois,100,FR,1624091452,64,46.4154,3.9054,78.48,8.05
122,raga,0,SS,1624091452,55,8.4596,25.678,83.16,5.91
123,malazgirt,75,TR,1624091453,17,39.1427,42.5401,90.32,5.66
124,port augusta,0,CD,1624091363,54,-7.0349,29.7638,77.68,12.8
125,ilulissat,12,GL,1624091454,65,69.2167,-51.1,41.02,4.61
126,adrar,3,MR,1624091455,24,20.5022,-10.0711,82.74,18.41
127,pandan,1,PH,1624091456,67,14.0453,124.1694,88.18,6.24
128,husavik,98,IS,1624091456,95,66.0449,-17.3389,40.91,4.12
129,hithadhoo,100,MV,1624091457,71,-0.6,73.0833,83.68,10.58
130,ekhabi,100,RU,1624091458,56,53.5102,142.9671,55.11,4.41
131,basco,55,PH,1624091458,85,20.4487,121.9702,83.53,28.5
132,carsamba,57,TR,1624091459,73,41.1989,36.7219,74.79,6.91
133,puerto ayora,0,ES,1624091460,70,36.5939,-6.233,66.61,8.05
134,vila franca do campo,75,PT,1624091460,87,42.0304,-8.1588,54.7,4.25
135,tiznit,40,MA,1624091461,64,29.5833,-9.5,62.82,6.04
136,coihaique,52,CL,1624091462,80,-45.5752,-72.0662,28.35,4.61
137,butaritari,0,KI,1624091464,71,3.0707,172.7902,83.01,5.23
138,mar del plata,35,ES,1624091464,92,43.4002,-4.0094,68.25,3.0
139,broome,20,US,1624091465,87,42.2506,-75.833,68.58,6.91
140,kodiak,90,US,1624091466,87,57.79,-152.4072,47.71,9.22
141,matiguas,90,NI,1624091466,97,12.8373,-85.4622,69.94,3.36
142,kidal,44,ML,1624091169,31,18.4411,1.4078,92.61,13.44
143,kaitangata,3,NZ,1624091468,91,-46.2817,169.8464,46.63,4.74
144,katsuura,98,JP,1624091469,81,35.1333,140.3,72.19,17.38
145,victoria,100,HK,1624091271,85,22.2855,114.1577,93.25,8.99
146,caxito,97,AO,1624091470,57,-8.5785,13.6643,79.45,5.68
147,bera,2,BD,1624091471,81,24.0833,89.6167,80.69,7.56
148,tarakan,100,ID,1624091472,62,3.3,117.6333,89.1,5.75
149,beloha,40,MG,1624091473,50,-25.1667,45.05,74.8,16.33
150,tual,47,ID,1624091473,77,-5.6667,132.75,81.21,20.29
151,mackay,100,AU,1624091474,67,-21.15,149.2,63.05,4.61
152,rosita,81,NI,1624091475,98,13.9268,-84.4032,72.55,2.66
153,sao filipe,100,IN,1624091476,46,20.5113,76.2129,86.13,14.29
154,khuzhir,100,RU,1624091476,71,53.1939,107.3397,51.42,3.94
155,ust-nera,56,RU,1624091477,25,64.5667,143.2,78.35,5.37
156,leningradskiy,49,RU,1624091478,94,69.3833,178.4167,37.24,2.91
157,airai,86,TL,1624091478,84,-8.9266,125.4092,63.07,3.36
158,kysyl-syr,93,RU,1624091479,35,63.8986,122.7617,82.62,2.35
159,lar gerd,96,IN,1624091480,91,26.2039,83.9717,76.93,14.0
160,sainte-maxime,100,FR,1624091480,72,43.3,6.6333,83.71,9.62
161,quelimane,69,MZ,1624091481,69,-17.8786,36.8883,76.95,4.61
162,tougan,40,BF,1624091482,46,13.0667,-3.0667,89.35,14.41
163,maunatlala,66,BW,1624091483,59,-22.597,27.6301,64.13,16.37
164,cidreira,71,BR,1624091484,86,-30.1811,-50.2056,58.59,12.06
165,cavalcante,100,BR,1624091484,57,-13.7975,-47.4583,64.13,4.7
166,segezha,78,RU,1624091485,45,63.7415,34.3222,67.5,10.33
167,okhotsk,35,RU,1624091486,53,59.3833,143.3,61.38,14.41
168,nome,27,US,1624091487,52,64.5011,-165.4064,64.47,8.05
169,axim,1,GH,1624091488,73,4.8699,-2.2405,81.57,8.59
170,jacareacanga,81,BR,1624091488,99,-6.2222,-57.7528,70.05,1.14
171,tilichiki,85,RU,1624091489,86,60.4667,166.1,43.41,4.38
172,saint-philippe,100,RE,1624091490,57,-21.3585,55.7679,78.35,9.33
173,lasa,30,IT,1624091490,64,46.6166,10.7002,74.35,1.14
174,vao,100,NC,1624091491,78,-22.6667,167.4833,73.29,17.67
175,gazojak,70,TM,1624091492,10,41.1875,61.4036,100.18,20.29
176,udalguri,2,IN,1624091493,70,26.7667,92.1333,88.39,5.23
177,kaeo,84,NZ,1624091493,93,-35.1,173.7833,61.32,8.5
178,cabo san lucas,100,BR,1624091494,95,-8.2833,-35.0333,69.73,9.31
179,severo-kurilsk,74,RU,1624091495,93,50.6789,156.125,42.96,4.38
180,lavrentiya,100,RU,1624091495,72,65.5833,-171.0,48.24,0.38
181,verkhoyansk,72,RU,1624091496,22,67.5447,133.385,83.61,1.5
182,guerrero negro,100,MX,1624091497,99,17.6667,-100.0,65.21,2.13
183,westport,100,US,1624091221,88,41.1415,-73.3579,69.85,1.01
184,evensk,90,RU,1624091498,86,61.95,159.2333,49.51,7.27
185,kharhial,99,IN,1624091499,68,20.2833,82.7667,83.26,9.35
186,nikolskoye,100,RU,1624091499,36,59.7035,30.7861,82.8,8.48
187,constitucion,3,CL,1624091500,82,-35.3333,-72.4167,49.41,4.59
188,isangel,47,VU,1624091501,83,-19.55,169.2667,75.83,4.59
189,khatanga,91,RU,1624091502,59,71.9667,102.5,56.57,8.63
190,chokurdakh,99,RU,1624091502,35,70.6333,147.9167,72.52,8.99
191,luderitz,100,NA,1624091503,25,-26.6481,15.1594,80.1,14.65
